V-1,V-2,V-3,V-4,V-5,V-6,V-7,V-8,V-9,V-10
1.00,3150.00,920.00,598.50,190.00,1010.84,16.00,1200.00,2200.00,410.00
1.00,7600.00,1140.00,3040.00,400.00,963.81,23.00,2900.00,5000.00,1000.00
1.00,4800.00,840.00,480.00,100.00,689.84,15.00,630.00,1200.00,170.00
1.00,685.00,202.00,13.70,20.00,459.54,4.00,140.00,165.00,30.00
1.00,3000.00,800.00,1230.00,410.00,631.91,13.00,5000.00,5500.00,700.00
1.00,2500.00,640.00,1050.00,420.00,647.32,12.00,4800.00,5200.00,700.00
1.00,1810.00,492.00,1158.40,640.00,843.98,11.00,5700.00,5800.00,900.00
1.00,1150.00,380.00,575.00,500.00,590.68,6.00,5300.00,4600.00,600.00
1.00,2110.00,540.00,189.90,90.00,732.14,5.00,690.00,870.00,110.00
1.00,3030.00,930.00,515.10,170.00,1007.38,3.00,1500.00,1700.00,190.00
1.00,750.00,200.00,90.00,120.00,846.15,6.00,1100.00,1500.00,150.00
1.00,4080.00,790.00,530.40,130.00,759.17,7.00,1800.00,2500.00,190.00
1.00,5030.00,1540.00,251.50,50.00,667.88,3.00,600.00,780.00,130.00
1.00,4040.00,890.00,1212.00,300.00,752.65,6.00,3800.00,5000.00,450.00
1.00,4880.00,1070.00,1854.40,380.00,614.00,5.00,4100.00,5200.00,520.00
1.00,1860.00,480.00,539.40,290.00,836.28,4.00,3300.00,3800.00,380.00
1.00,1460.00,380.00,627.80,430.00,733.24,5.00,4700.00,6300.00,590.00
1.00,15670.00,3440.00,7208.20,460.00,1010.50,5.00,3000.00,3800.00,630.00
1.00,2620.00,670.00,1231.40,470.00,724.38,5.00,3900.00,4800.00,650.00
1.00,5020.00,1110.00,1706.80,340.00,853.01,5.00,3300.00,4000.00,450.00
1.00,1830.00,410.00,494.10,270.00,650.57,6.00,3700.00,4600.00,300.00
1.00,3560.00,690.00,925.60,260.00,885.89,7.00,2500.00,3100.00,360.00
1.00,1590.00,350.00,667.80,420.00,678.64,6.00,4900.00,6300.00,620.00
1.00,3700.00,820.00,962.00,260.00,749.77,6.00,2600.00,3300.00,380.00
1.00,1450.00,370.00,406.00,280.00,702.48,5.00,3800.00,4600.00,370.00
1.00,1480.00,380.00,222.00,150.00,731.79,5.00,1700.00,2100.00,190.00
1.00,6930.00,1780.00,485.10,70.00,718.57,5.00,590.00,830.00,90.00
1.00,2750.00,610.00,357.50,130.00,916.66,6.00,1300.00,1700.00,160.00
1.00,3040.00,670.00,881.60,290.00,561.79,5.00,4900.00,6800.00,440.00
1.00,3420.00,880.00,547.20,160.00,890.64,4.00,2000.00,2400.00,180.00
2.00,2600.00,560.00,598.00,230.00,415.24,10.00,2100.00,3300.00,400.00
2.00,3600.00,980.00,612.00,170.00,2648.04,7.00,250.00,420.00,145.00
2.00,900.00,300.00,351.00,390.00,755.51,6.00,2600.00,3800.00,600.00
2.00,820.00,250.00,303.40,370.00,928.27,7.00,2400.00,3300.00,580.00
2.00,680.00,260.00,20.40,30.00,639.50,3.00,170.00,200.00,40.00
2.00,1160.00,300.00,429.20,370.00,474.91,5.00,2400.00,2600.00,480.00
2.00,1160.00,260.00,185.60,160.00,697.66,7.00,990.00,1300.00,230.00
2.00,2820.00,620.00,310.20,110.00,536.64,6.00,1300.00,1700.00,170.00
2.00,760.00,200.00,106.40,140.00,616.47,6.00,940.00,1200.00,190.00
2.00,2250.00,690.00,765.00,340.00,853.01,3.00,2200.00,2500.00,430.00
2.00,5540.00,850.00,1551.20,280.00,957.42,9.00,1200.00,1600.00,440.00
2.00,1540.00,400.00,154.00,100.00,771.33,5.00,700.00,860.00,110.00
2.00,4230.00,820.00,169.20,40.00,780.14,7.00,200.00,340.00,160.00
